id;name;;;;
1;Baranovichskiy    ;;;;
2;Березовский              ;;;;
3;Брестский                ;;;;
4;Ганцевичский             ;;;;
5;Дрогичинский             ;;;;
6;Жабинковский             ;;;;
7;Ивановский               ;;;;
8;Ивацевичский             ;;;;
9;Каменецкий               ;;;;
10;Кобринский               ;;;;
11;Лунинецкий               ;;;;
12;Ляховичский              ;;;;
13;Малоритский              ;;;;
14;Пинский                  ;;;;
15;Пружанский               ;;;;
16;Столинский               ;;;;
17;Бешенковичский           ;;;;
18;Браславский              ;;;;
19;Верхнедвинский           ;;;;
20;Витебский                ;;;;
21;Глубокский               ;;;;
22;Городокский              ;;;;
23;Докшицкий                ;;;;
24;Дубровенский             ;;;;
25;Лепельский               ;;;;
26;Лиозненский              ;;;;
27;Миорский                 ;;;;
28;Оршанский                ;;;;
29;Полоцкий                 ;;;;
30;Поставский               ;;;;
31;Россонский               ;;;;
32;Сенненский               ;;;;
33;Толочинский              ;;;;
34;Ушачский                 ;;;;
35;Чашникский               ;;;;
36;Шарковщинский            ;;;;
37;Шумилинский              ;;;;
38;Брагинский               ;;;;
39;Буда-Кошелевский         ;;;;
40;Ветковский               ;;;;
41;Гомельский               ;;;;
42;Добрушский               ;;;;
43;Ельский                  ;;;;
44;Житковичский             ;;;;
45;Жлобинский               ;;;;
46;Калинковичский           ;;;;
47;Кормянский               ;;;;
48;Лельчицкий               ;;;;
49;Лоевский                 ;;;;
50;Мозырский;;;;
51;Наровлянский             ;;;;
52;Октябрьский              ;;;;
53;Петриковский             ;;;;
54;Речицкий                 ;;;;
55;Рогачевский              ;;;;
56;Светлогорский            ;;;;
57;Чечерский                ;;;;
58;Хойникский               ;;;;
59;Берестовицкий            ;;;;
60;Волковысский             ;;;;
61;Вороновский              ;;;;
62;Гродненский              ;;;;
63;Дятловский               ;;;;
64;Зельвенский              ;;;;
65;Ивьевский                ;;;;
66;Кореличский              ;;;;
67;Лидский                  ;;;;
68;Мостовский               ;;;;
69;Новогрудский             ;;;;
70;Островецкий              ;;;;
71;Ошмянский                ;;;;
72;Свислочский              ;;;;
73;Слонимский               ;;;;
74;Сморгонский              ;;;;
75;Щучинский                ;;;;
76;Березинский              ;;;;
77;Борисовский              ;;;;
78;Вилейский                ;;;;
79;Воложинский              ;;;;
80;Дзержинский              ;;;;
81;Клецкий                  ;;;;
82;Копыльский               ;;;;
83;Крупский                 ;;;;
84;Логойский                ;;;;
85;Любанский                ;;;;
86;Минский                  ;;;;
87;Молодечненский         ;;;;
88;Мядельский               ;;;;
89;Несвижский               ;;;;
90;Пуховичский              ;;;;
91;Слуцкий                  ;;;;
92;Смолевичский             ;;;;
93;Солигорский              ;;;;
94;Стародорожский           ;;;;
95;Столбцовский             ;;;;
96;Узденский                ;;;;
97;Червенский               ;;;;
98;Белыничский              ;;;;
99;Бобруйский               ;;;;
100;Быховский                ;;;;
101;Глусский                 ;;;;
102;Горецкий                 ;;;;
103;Дрибинский               ;;;;
104;Кировский                ;;;;
105;Климовичский             ;;;;
106;Кличевский               ;;;;
107;Костюковичский           ;;;;
108;Краснопольский           ;;;;
109;Кричевский               ;;;;
110;Круглянский              ;;;;
111;Мстиславский             ;;;;
112;Могилевский              ;;;;
113;Осиповичский         ;;;;
114;Славгородский            ;;;;
115;Хотимский                ;;;;
116;Чаусский                 ;;;;
117;Чериковский              ;;;;
118;Шкловский                ;;;;
119;Минск  ;;;;
